New log started
Initializing OpenCL environement...
1 - Keypress: 122
1 - Keypress: 65451
1 - Keyrelease: 65451
1 - Keypress: 65453
1 - Keyrelease: 65453
1 - Keypress: 65451
1 - Keyrelease: 65451
1 - Keypress: 65453
1 - Keyrelease: 65453
1 - Keypress: 65451
1 - Keyrelease: 65451
1 - Keypress: 65451
1 - Keyrelease: 65451
1 - Keypress: 65451
1 - Keyrelease: 65451
1 - Keypress: 65451
1 - Keyrelease: 65451
1 - Keypress: 65453
1 - Keyrelease: 65453
1 - Keypress: 65453
1 - Keyrelease: 65453
1 - Keyrelease: 122
1 - Keypress: 65363
1 - Keypress: 65364
1 - Keyrelease: 65363
1 - Keyrelease: 65364
1 - Keypress: 65364
1 - Keypress: 65363
1 - Keyrelease: 65363
1 - Keyrelease: 65364
1 - Motion: 1405 734
1 - Motion: 1403 734
1 - Motion: 1402 733
1 - Motion: 1399 730
1 - Motion: 1394 725
1 - Motion: 1387 720
1 - Motion: 1382 715
1 - Motion: 1373 713
1 - Motion: 1364 710
1 - Motion: 1357 708
1 - Motion: 1350 706
1 - Motion: 1343 706
1 - Motion: 1336 704
1 - Motion: 1329 704
1 - Motion: 1322 704
1 - Motion: 1315 702
1 - Motion: 1310 702
1 - Motion: 1305 702
1 - Motion: 1300 700
1 - Motion: 1295 700
1 - Motion: 1293 698
1 - Motion: 1290 696
1 - Motion: 1287 694
1 - Motion: 1284 692
1 - Motion: 1281 690
1 - Motion: 1278 687
1 - Motion: 1273 685
1 - Motion: 1268 682
1 - Motion: 1263 679
1 - Motion: 1258 674
1 - Motion: 1253 669
1 - Motion: 1248 664
1 - Motion: 1243 657
1 - Motion: 1236 650
1 - Motion: 1229 643
1 - Motion: 1222 636
1 - Motion: 1215 629
1 - Motion: 1208 622
1 - Motion: 1201 615
1 - Motion: 1194 608
1 - Motion: 1187 601
1 - Motion: 1180 592
1 - Motion: 1173 583
1 - Motion: 1168 574
1 - Motion: 1163 565
1 - Motion: 1158 556
1 - Motion: 1153 547
1 - Motion: 1148 538
1 - Motion: 1143 529
1 - Motion: 1138 520
1 - Motion: 1133 511
1 - Motion: 1128 502
1 - Motion: 1123 493
1 - Motion: 1118 484
1 - Motion: 1113 475
1 - Motion: 1108 466
1 - Motion: 1103 457
1 - Motion: 1098 448
1 - Motion: 1093 439
